ONC,02/1/2015,medium,9,4.807
ONC,02/1/2015,medium,12,4.684
ONC,02/1/2015,medium,18,4.752
ONC,02/1/2015,medium,24,4.85
ONC,02/1/2015,medium,36,5.005
ONC,02/1/2015,high,6,4.387
ONC,02/1/2015,high,9,4.59
ONC,02/1/2015,high,12,4.492
ONC,02/1/2015,high,18,4.564
ONC,02/1/2015,high,24,4.653
ONC,02/1/2015,high,36,4.803
AEP NORTH,02/1/2015,low,6,4.967
AEP NORTH,02/1/2015,low,9,5.24
AEP NORTH,02/1/2015,low,12,5.105
AEP NORTH,02/1/2015,low,18,5.194
AEP NORTH,02/1/2015,low,24,5.304
AEP NORTH,02/1/2015,low,36,5.478
AEP NORTH,02/1/2015,medium,6,4.826
AEP NORTH,02/1/2015,medium,9,5.065
AEP NORTH,02/1/2015,medium,12,4.94
AEP NORTH,02/1/2015,medium,18,5.035
AEP NORTH,02/1/2015,medium,24,5.134
AEP NORTH,02/1/2015,medium,36,5.304
AEP NORTH,02/1/2015,high,6,4.676
AEP NORTH,02/1/2015,high,9,4.888
AEP NORTH,02/1/2015,high,12,4.776
AEP NORTH,02/1/2015,high,18,4.873
AEP NORTH,02/1/2015,high,24,4.964
AEP NORTH,02/1/2015,high,36,5.13
AEP CENTRAL,02/1/2015,low,6,5.097
AEP CENTRAL,02/1/2015,low,9,5.43
AEP CENTRAL,02/1/2015,low,12,5.253
AEP CENTRAL,02/1/2015,low,18,5.279
AEP CENTRAL,02/1/2015,low,24,5.375
AEP CENTRAL,02/1/2015,low,36,5.507
AEP CENTRAL,02/1/2015,medium,6,4.837
AEP CENTRAL,02/1/2015,medium,9,5.086
AEP CENTRAL,02/1/2015,medium,12,4.95
AEP CENTRAL,02/1/2015,medium,18,4.983
AEP CENTRAL,02/1/2015,medium,24,5.058
AEP CENTRAL,02/1/2015,medium,36,5.179
AEP CENTRAL,02/1/2015,high,6,4.625
AEP CENTRAL,02/1/2015,high,9,4.829
AEP CENTRAL,02/1/2015,high,12,4.718
AEP CENTRAL,02/1/2015,high,18,4.754
AEP CENTRAL,02/1/2015,high,24,4.819
AEP CENTRAL,02/1/2015,high,36,4.93
CNP,03/1/2015,low,6,5.463
CNP,03/1/2015,low,9,5.172
CNP,03/1/2015,low,12,5.033
CNP,03/1/2015,low,18,5.319
CNP,03/1/2015,low,24,5.212
CNP,03/1/2015,low,36,5.382
CNP,03/1/2015,medium,6,5.209
CNP,03/1/2015,medium,9,4.958
CNP,03/1/2015,medium,12,4.846
CNP,03/1/2015,medium,18,5.103
CNP,03/1/2015,medium,24,5.018
CNP,03/1/2015,medium,36,5.183
CNP,03/1/2015,high,6,4.91
CNP,03/1/2015,high,9,4.695
CNP,03/1/2015,high,12,4.601
CNP,03/1/2015,high,18,4.828
CNP,03/1/2015,high,24,4.765
CNP,03/1/2015,high,36,4.921
TNMP,03/1/2015,low,6,5.534
TNMP,03/1/2015,low,9,5.251
TNMP,03/1/2015,low,12,5.116
TNMP,03/1/2015,low,18,5.399
TNMP,03/1/2015,low,24,5.297
TNMP,03/1/2015,low,36,5.471
TNMP,03/1/2015,medium,6,5.28
TNMP,03/1/2015,medium,9,5.036
TNMP,03/1/2015,medium,12,4.927
TNMP,03/1/2015,medium,18,5.182
TNMP,03/1/2015,medium,24,5.103
TNMP,03/1/2015,medium,36,5.271
TNMP,03/1/2015,high,6,4.979
TNMP,03/1/2015,high,9,4.771
TNMP,03/1/2015,high,12,4.681
TNMP,03/1/2015,high,18,4.906
TNMP,03/1/2015,high,24,4.849
TNMP,03/1/2015,high,36,5.008
ONC,03/1/2015,low,6,5.36
ONC,03/1/2015,low,9,5.043
ONC,03/1/2015,low,12,4.937
ONC,03/1/2015,low,18,5.219
ONC,03/1/2015,low,24,5.104
ONC,03/1/2015,low,36,5.263
ONC,03/1/2015,medium,6,5.078
ONC,03/1/2015,medium,9,4.805
ONC,03/1/2015,medium,12,4.721
ONC,03/1/2015,medium,18,4.976
ONC,03/1/2015,medium,24,4.882
ONC,03/1/2015,medium,36,5.034
